2026-05-04 21:20:26, MOVE, v:1, k:ed@lista_d1, mode:DOWN
2026-05-04 21:20:28, MOVE, v:1, k:ed@lista_d2, mode:DOWN
2026-05-04 21:20:30, MOVE, v:1, k:ed@lista_d4, mode:DOWN
2026-05-04 21:20:26, MOVE, v:1, k:ed@lista_d1, mode:EDIT
2026-05-04 21:20:26, MOVE, v:1, k:ed@lista_d1, mode:EDIT
2026-05-04 21:20:26, MOVE, v:1, k:ed@lista_d1, mode:EDIT
2026-05-04 21:20:26, MOVE, v:1, k:ed@lista_d1, mode:EDIT
2026-05-04 21:20:27, MOVE, v:1, k:ed@lista_d2, mode:EDIT
2026-05-04 21:20:27, MOVE, v:1, k:ed@lista_d2, mode:EDIT
2026-05-04 21:20:27, MOVE, v:1, k:ed@lista_d2, mode:EDIT
2026-05-04 21:20:27, MOVE, v:1, k:ed@lista_d2, mode:EDIT
2026-05-04 21:20:30, MOVE, v:1, k:ed@lista_d4, mode:EDIT
2026-05-04 21:20:30, MOVE, v:1, k:ed@lista_d4, mode:EDIT
2026-05-04 21:20:30, MOVE, v:1, k:ed@lista_d4, mode:EDIT
2026-05-04 21:20:30, MOVE, v:1, k:ed@lista_d4, mode:EDIT
